gene id,cancer_164,cancer_170,cancer_260,normal_1,normal_2,normal_3
ENSG00000128815.21,229.999636,85.000074,60.999998999999995,665.000209226,1761.004519464,289.99978421
ENSG00000128829.13,51.000041681552,14.0697940796367,47.000003345529,1727.999761701,1995.000600013413,1338.000383466998
ENSG00000128833.14,5.0,5.0000046000000005,4.0,2396.308547497,736.8299847634299,1597.952384379492
ENSG00000128849.12,27.0,70.0,14.0,2981.91279,932.7275,2142.00467
ENSG00000128872.11,0.0,1.0,0.0,164.99999000000003,291.99977,103.01399
ENSG00000128881.19,23.00001,13.0,24.99996,1380.00005,1863.51179,811.50491
ENSG00000128886.12,5.0,0.0,0.0,109.71414,51.28364,50.87165
ENSG00000128891.18,6.04079,5.0,13.15498,56.590074,61.348344,46.72452
ENSG00000128908.20,76.99993799569,23.0,42.999999,1517.8884,1318.6174650140001,1088.00103
ENSG00000128915.13,0.0,2.0000020000000003,8.0,831.51784,785.0131200000001,623.99977
ENSG00000128917.9,16.0,2.0,15.0,51.0,180.99966,15.9999712
ENSG00000128918.16,4.0,2.0,0.0,134.00026,328.19994,88.99997
ENSG00000128923.12,10.0,16.0,16.0,264.5621700531679,195.12761999999998,194.02793001139997
ENSG00000128928.11,4.0,12.0,5.0,1034.02287,1131.00061,913.3925823676
ENSG00000128944.14,1.0,4.0,10.0,148.00048999999999,112.000033,126.00005000000002
ENSG00000128951.15,26.999955999999997,8.0,1.0,360.70276,408.8603,284.21751
ENSG00000128965.13,5.0,7.0,2.0,25.99999,18.99999,89.0
ENSG00000128973.14,34.0,0.0,3.0,440.00838,404.92662,237.63437
ENSG00000128989.12,2.0,1.0,7.000007,759.00017,1529.99966,650.0000299999999
ENSG00000129003.19,61.0,24.999969999999998,32.00002,6749.39006,9324.916150000001,4509.85254
ENSG00000129007.17,4.94438,8.0,0.0,67.61923999999999,24.49207,27.957293
ENSG00000129009.14,96.0,89.0,48.028265,36.944559999999996,94.3221,12.83961
ENSG00000129028.9,1.0,4.0,0.0,15.0,9.0,16.99999
ENSG00000129038.17,32.99998,28.99995,57.0,71.99995,122.00006,24.00004
ENSG00000129048.8,0.0,0.0,3.0,367.5616,310.9999,140.0484
ENSG00000129055.14,3.0,6.0,1.0,132.00008,162.99987000000002,119.00001
ENSG00000129071.11,80.1532,9.14530454084,24.04486,917.20961,1110.87634,676.0943
ENSG00000129083.14,25.000000926737997,10.000000084112699,30.999990176722,3874.99477,2780.83706,2844.015826
ENSG00000129084.20,19.0,6.0,3.0,853.0004000000001,915.52639,566.10899
ENSG00000129103.20,103.0,62.0,72.0000100887397,477.9294686,375.90881,319.9313
ENSG00000129116.21,429.9996699999999,118.999948532,292.0004,4466.134080000001,6737.98796,3687.53487
ENSG00000129128.13,14.0,19.0,5.0,257.0038,286.0453,209.0002
ENSG00000129151.10,6.0,0.0,2.0,167.00044999999997,149.00037999999998,177.00042
ENSG00000129152.4,8.0,9.0,0.0,0.0,9.0,0.0
ENSG00000129158.12,0.0,10.000000892898,9.0,202.00005000000002,245.99994,141.000031
ENSG00000129159.9,16.0,0.0,7.0,2.0,9.0,0.0
ENSG00000129167.12,0.0,0.0,0.0,29.0659700398189,13.038877000000001,27.99998
ENSG00000129170.11,75.000027221,30.00002,2.0,10.0,5098.9995962349,6.0
ENSG00000129173.14,5.0,4.0,1.0,210.00034009297428,96.00001,108.0000000336277
ENSG00000129187.16,23.00003,20.0,18.0000200391147,531.731546031,499.99966,432.00014
ENSG00000129194.8,178.0,39.99999,125.0,52.8747,33.00001561,27.0
ENSG00000129195.17,0.0,0.0,4.0,5.0000015,7.0,6.000000468406
ENSG00000129197.16,9.0,3.99999836842,4.0,317.47951,305.0199,213.50637
ENSG00000129204.17,0.0,12.81210109307,0.0,18.09238,9.038129999999999,18.09361
ENSG00000129214.16,0.0,0.0,1.0,3.0,5.000000572159,7.0
ENSG00000129219.15,196.9999822,111.99997081981,55.999970000000005,731.9998744511,692.00037169255,512.000189
ENSG00000129221.16,0.0,0.0,1.0,1.0,2.0,2.02763
ENSG00000129226.15,108.0,53.00005,89.0001,1647.74572,2952.79842,1319.04343
ENSG00000129235.12,33.0,22.0,11.0,890.76637,685.0,871.00038
ENSG00000129244.10,0.0,0.0,1.0,40.07378,51.99996,7.0200373
ENSG00000129245.13,72.000018,48.0,49.999943,503.99091,818.99397,365.9991
ENSG00000129250.13,771.000319620215,559.823384864237,224.999530485425,3002.1170442600614,5918.154120014,2251.524910521784
ENSG00000129255.17,50.0,53.00003,13.99998,1557.133356,1243.00618562,1292.000340731738
ENSG00000129292.22,31.999959999999998,25.999954000000002,35.0000176,1479.9892450435,1417.95526038224,1180.1324363574
