"ENTREZID","log2FC"
"9189",6.05436108397289
"3593",6.05314725991641
"644054",6.0531453604146
"23350",6.05180387921006
"137735",6.05180320048009
"285878",6.05180309331146
"102682016",6.05180285983903
"51205",6.05180280968454
"102724631",6.05180252342545
"10206",6.05180248426719
"347734",6.05180199195223
"388925",6.05180198596886
"113452",6.05180189215059
"53904",6.05180180856502
"102723508",6.05180173345377
"6357",6.0518017195367
"7368",6.05180162226868
"5473",6.05180136255627
"728022",6.05180117023806
"105373805",6.05180086338267
"8992",6.05180080169921
"57002",6.05180060727341
"4189",6.05180050323157
"127495",6.05180007778082
"100289341",6.05179920952452
"388552",6.04937081720534
"653268",6.04081212279342
"25800",6.03503175841336
"101927788",6.01985518696292
"51621",6.01280582120076
"6344",6.01231103629272
"112724",6.00782462569432
"10417",6.00540739527351
"1809",6.0036495477712
"127138868",5.99984025062557
"107986100",5.9985195791075
"9750",5.9944677710408
"23219",5.99226160473699
"80818",5.99226083415927
"102724515",5.99225978831571
"649179",5.99179458527056
"6402",5.98959261579188
"105372652",5.9826372232668
"57519",5.97791670964755
"79792",5.96155800950966
"56853",5.9609178816835
"4793",5.95993580139408
"6741",5.9596585790597
"4849",5.95947914002906
"10973",5.95786732415798
"10629",5.95786606845917
"100131264",5.95769867516051
"677833",5.95769754609905
"6624",5.93781266850417
"2639",5.93683742712265
"25851",5.930892353317
"54332",5.9300479689467
"84071",5.92323579682194
"5636",5.91884253573254
"348840",5.91838750160188
"56130",5.91703428143295
"2791",5.91282288906824
"2288",5.91282263991116
"286444",5.91281996059193
"646278",5.9099493973295
"136051",5.90610391034648
"100873408",5.90594951776421
"7844",5.8985443337849
"4302",5.89811113095401
"100533182",5.8964079546688
"28420",5.89580060415464
"114804",5.89580037358438
"983",5.8956715652116
"1513",5.8956710483455
"122149300",5.8956703054164
"266747",5.86743702066982
"105375148",5.86652009338423
"2987",5.85972623670424
"101929775",5.85813251606586
"2835",5.85581363617147
"100505566",5.85127229627397
"58513",5.84450117916985
"255061",5.84113979248037
"25957",5.84113826381998
"7124",5.82987511990917
"400954",5.82925373823987
"1159",5.82651330783675
"715",5.82549378286545
"1949",5.8237229141473
"3956",5.82244519376041
"105375022",5.8080599589079
"28746",5.79981675406838
"4982",5.79950253399718
"64089",5.79825319074784
"5621",5.79477943075387
"102723510",5.79370295863556
"29943",5.79370268918011
"84277",5.79364023939189
"56896",5.79364006383223
"25915",5.7936394367321
"100126335",5.78924607324674
"10086",5.78874586709389
"6706",5.78149403200887
"57605",5.7805470397529
"3305",5.77865970998305
"146754",5.7786597055686
"124901882",5.77860312761552
"100271534",5.77859988059181
"100421468",5.77859912177848
"100506551",5.77859083942411
"5128",5.77800263552041
"2358",5.77798862759767
"55607",5.77366587287018
"284116",5.76940478133051
"11221",5.76885883200152
"200150",5.76231771698709
"5872",5.76231741634844
"114819",5.76231724585385
"100271211",5.7623164339098
"1645",5.76231576229495
"79823",5.75099759974356
"10739",5.7502011030515
"135656",5.74969014197762
"142",5.74968982558776
"10239",5.74968976161112
"94081",5.74968968688173
"25825",5.74968953491743
"100507679",5.74968944859703
"56122",5.74968934234589
"727851",5.74968926438326
"5146",5.7496891038062
"51227",5.7496890737573
"6711",5.74968895076369
"8473",5.7496888899421
"6136",5.74968870219956
"105375624",5.74968861380173
"105369557",5.74968860687907
"10311",5.74968848766759
"2941",5.74968841317507
"9179",5.74968796766206
"541",5.74968765884257
"56658",5.74968717120534
"5519",5.74968697221135
"3126",5.74357608731121
"57491",5.74212739315355
"2976",5.73984389403988
"441550",5.73875080039576
"135924",5.73500101123084
"106479428",5.73500070244353
"143872",5.73500069425155
"81688",5.73500019738086
"150527",5.73499985794704
"6282",5.73499980735467
"5685",5.73499959609552
"10360",5.7349993386739
"3304",5.73499933235117
"105373999",5.73499930977908
"55958",5.73499928737605
"9550",5.73499913291721
"10399",5.73499903111876
"107075105",5.7349989839327
"100506658",5.73499894155007
"54455",5.73499893608465
"53353",5.73499893597255
